Date,Price,Open,High,Low,Vol.
Jan 01 2023,16618.40,16537.50,16621.90,16499.70,107.84K
Dec 31 2022,16537.40,16607.20,16635.90,16487.30,130.44K
Dec 30 2022,16607.20,16636.40,16644.40,16360.00,192.76K
Dec 29 2022,16636.40,16546.20,16659.10,16496.60,181.47K
Dec 28 2022,16546.20,16705.90,16781.10,16474.20,217.96K
Dec 27 2022,16706.10,16918.20,16964.00,16610.10,192.18K
Dec 26 2022,16918.10,16831.80,16936.10,16799.40,133.36K
Dec 25 2022,16831.80,16835.70,16852.90,16733.00,132.89K
Dec 24 2022,16837.20,16778.60,16855.80,16777.80,110.12K
Dec 23 2022,16779.10,16820.50,16910.70,16768.00,184.12K
Dec 22 2022,16820.60,16831.80,16862.20,16566.10,198.28K
Dec 21 2022,16831.80,16902.70,16919.40,16735.00,174.34K
Dec 20 2022,16902.80,16441.30,17031.30,16400.70,284.57K
Dec 19 2022,16441.30,16741.10,16809.50,16331.20,207.93K
Dec 18 2022,16741.10,16777.00,16825.70,16666.50,124.29K
Dec 17 2022,16777.10,16629.00,16794.40,16587.00,164.49K
Dec 16 2022,16629.60,17356.70,17518.50,16542.40,303.56K
Dec 15 2022,17356.10,17796.40,17846.10,17298.20,263.44K
Dec 14 2022,17796.40,17778.60,18351.80,17682.10,318.98K
Dec 13 2022,17778.60,17210.90,17951.60,17094.50,328.71K
Dec 12 2022,17210.40,17093.20,17232.50,16878.50,249.39K
Dec 11 2022,17093.30,17127.00,17262.90,17080.60,167.20K
Dec 10 2022,17127.20,17125.70,17220.50,17105.70,148.81K
Dec 09 2022,17125.70,17225.60,17288.60,17082.10,260.84K
Dec 08 2022,17225.70,16835.20,17294.20,16765.80,261.64K
Dec 07 2022,16835.20,17089.40,17126.70,16715.30,244.36K
Dec 06 2022,17089.30,16966.30,17101.10,16914.90,246.19K
Dec 05 2022,16966.50,17106.90,17395.20,16886.90,268.72K
Dec 04 2022,17112.60,16884.80,17198.10,16881.60,197.12K
Dec 03 2022,16884.50,17093.40,17132.60,16862.10,169.29K
